Date,Open,High,Low,Close,Volume
20170102 020000,1.05155,1.05197,1.05155,1.0519,0
20170103 023900,1.04557,1.04579,1.04551,1.04562,0
20170104 024000,1.04192,1.04194,1.04173,1.04173,0
20170105 024000,1.0555,1.05552,1.05522,1.05551,0
20170106 024000,1.05856,1.05859,1.05845,1.0585,0
20170109 024500,1.05303,1.05321,1.05303,1.05318,0
20170110 024500,1.05939,1.05963,1.05939,1.05963,0
20170111 024500,1.05592,1.05598,1.0558,1.05585,0
20170112 024600,1.06329,1.06363,1.06328,1.0635,0
20170113 024700,1.06358,1.06392,1.06358,1.06392,0
20170116 024700,1.0611,1.06116,1.06103,1.06105,0
20170117 025200,1.06459,1.06479,1.06459,1.06479,0
20170118 025200,1.06825,1.06832,1.06823,1.0683,0
20170119 025200,1.06425,1.06431,1.06403,1.06405,0
20170120 025200,1.06735,1.06747,1.06732,1.06747,0
20170123 025200,1.07461,1.07467,1.07439,1.07446,0
20170124 025200,1.07432,1.07436,1.07409,1.07416,0
20170125 025400,1.07237,1.0725,1.07234,1.07243,0
20170126 025400,1.07323,1.07331,1.07316,1.07323,0
20170127 025500,1.06681,1.06701,1.06678,1.06693,0
20170130 025700,1.07007,1.07013,1.06996,1.06996,0
20170131 025800,1.06994,1.07,1.06987,1.06987,0
20170201 030000,1.07814,1.07845,1.07791,1.0782,0
20170202 030000,1.07925,1.07942,1.07906,1.07908,0
20170203 030000,1.0757,1.07589,1.0755,1.07552,0
20170206 030200,1.07505,1.07522,1.07501,1.07503,0
20170207 030300,1.06821,1.06835,1.06799,1.06799,0
20170208 030400,1.06465,1.06478,1.06458,1.0647,0
20170209 030500,1.06814,1.06831,1.06811,1.06822,0
20170210 030600,1.064,1.06406,1.06381,1.06392,0
20170213 030600,1.06433,1.06465,1.06432,1.06461,0
20170214 030800,1.06155,1.06168,1.06152,1.06158,0
20170215 031000,1.05668,1.05674,1.05638,1.05638,0
20170216 031000,1.06271,1.06295,1.06269,1.06274,0
20170217 031100,1.06534,1.06534,1.06521,1.06522,0
20170220 031200,1.06142,1.06167,1.06142,1.06165,0
20170221 031300,1.0574,1.0574,1.0572,1.05723,0
20170222 031300,1.05091,1.05092,1.0508,1.05088,0
20170223 031300,1.05584,1.05608,1.05577,1.05604,0
20170224 031400,1.05975,1.06004,1.05959,1.05966,0
20170227 031700,1.05751,1.05752,1.05745,1.05751,0
20170228 031700,1.0588,1.0588,1.05862,1.05878,0
20170301 031900,1.05419,1.05428,1.0539,1.05425,0
20170302 031900,1.05362,1.0537,1.05355,1.05355,0
20170303 032100,1.05141,1.05148,1.05138,1.05148,0
20170306 032100,1.06184,1.06205,1.06173,1.0619,0
20170307 032300,1.05935,1.05943,1.0593,1.0594,0
20170308 032500,1.05545,1.05546,1.05523,1.05527,0
20170309 032700,1.05467,1.05489,1.05463,1.05466,0
20170310 032700,1.0612,1.06125,1.0611,1.06121,0
20170313 033300,1.07059,1.07059,1.0704,1.07048,0
20170314 033400,1.06425,1.0646,1.06425,1.0646,0
20170315 033700,1.0634,1.0635,1.06334,1.06343,0
