Date,Open,High,Low,Close,Volume
20180101 170000,1.20037,1.201,1.20037,1.201,0
20180101 180100,1.20116,1.20116,1.20051,1.20051,0
20180101 190100,1.20097,1.20097,1.20093,1.20093,0
20180101 200100,1.20172,1.20181,1.2017,1.2018,0
20180101 210100,1.2016,1.2016,1.20155,1.20159,0
20180101 220100,1.20094,1.20098,1.20094,1.20098,0
20180101 230100,1.20126,1.20141,1.20126,1.20136,0
20180102 000100,1.20173,1.20173,1.20172,1.20172,0
20180102 010300,1.20261,1.20273,1.20261,1.20266,0
20180102 020300,1.20294,1.20302,1.2028,1.20281,0
20180102 030300,1.20371,1.20373,1.20356,1.20358,0
20180102 040300,1.20458,1.20482,1.20458,1.20479,0
20180102 050300,1.20718,1.20719,1.20692,1.20699,0
20180102 060300,1.20673,1.20674,1.2065,1.20658,0
20180102 070300,1.20579,1.206,1.2057,1.20572,0
20180102 080300,1.20627,1.20643,1.20625,1.20638,0
20180102 090300,1.20542,1.20546,1.20532,1.20542,0
20180102 100300,1.2042,1.2042,1.20345,1.20364,0
20180102 110300,1.20478,1.20483,1.20474,1.20478,0
20180102 120300,1.2049,1.2049,1.20474,1.20481,0
20180102 130300,1.20442,1.20449,1.20442,1.20449,0
20180102 140300,1.20444,1.20445,1.20437,1.20444,0
20180102 150300,1.20531,1.20538,1.2053,1.20532,0
20180102 160300,1.20604,1.20624,1.20604,1.20623,0
20180102 170300,1.20582,1.20582,1.2055,1.20555,0
20180102 180400,1.20577,1.2058,1.20575,1.2058,0
20180102 190400,1.20635,1.20636,1.2063,1.20632,0
20180102 200400,1.20596,1.20607,1.20591,1.20606,0
20180102 210400,1.20495,1.20509,1.20495,1.20508,0
20180102 220400,1.20434,1.20435,1.20432,1.20435,0
20180102 230400,1.20482,1.20488,1.20482,1.20484,0
20180103 000400,1.20513,1.20514,1.20508,1.20513,0
20180103 010400,1.20583,1.20596,1.20582,1.20582,0
20180103 020400,1.2048,1.20482,1.20459,1.20459,0
20180103 030400,1.20358,1.20358,1.20339,1.20343,0
20180103 040400,1.20426,1.20427,1.20402,1.20405,0
20180103 050400,1.20357,1.20386,1.20354,1.20383,0
20180103 060400,1.20161,1.20165,1.20115,1.20129,0
20180103 070400,1.20151,1.20154,1.2014,1.2014,0
20180103 080400,1.20207,1.20217,1.20204,1.20211,0
20180103 090400,1.20275,1.20281,1.20266,1.20267,0
20180103 100400,1.20129,1.20129,1.20063,1.20081,0
20180103 110400,1.20225,1.20227,1.20211,1.20216,0
20180103 120400,1.20307,1.20307,1.20306,1.20306,0
20180103 130400,1.2028,1.20282,1.20276,1.2028,0
