Date,Open,High,Low,Close,Volume
20180101 170000,1.20037,1.201,1.20037,1.201,0
20180110 171900,1.19506,1.19507,1.19506,1.19507,0
20180121 172400,1.22603,1.22605,1.22598,1.22598,0
20180130 173200,1.24021,1.24021,1.2402,1.2402,0
20180208 173600,1.22444,1.22444,1.22434,1.22434,0
20180219 181100,1.24062,1.24066,1.24057,1.24066,0
20180228 182100,1.21926,1.21926,1.2192,1.2192,0
20180311 183800,1.23103,1.23108,1.23103,1.23106,0
20180320 191400,1.22439,1.22448,1.22439,1.22447,0
20180329 193500,1.22998,1.23,1.22997,1.23,0
20180409 213000,1.23214,1.2322,1.23199,1.23219,0
20180418 220500,1.23689,1.2369,1.23688,1.23689,0
20180429 225100,1.21317,1.21322,1.21317,1.21321,0
20180508 234200,1.18571,1.18575,1.18571,1.18571,0
20180518 001200,1.18026,1.18026,1.18021,1.18026,0
20180529 005000,1.16312,1.16314,1.16307,1.1631,0
20180607 010200,1.17957,1.17963,1.17954,1.17963,0
20180618 012600,1.15953,1.15957,1.15953,1.15955,0
20180627 013700,1.16457,1.16459,1.16437,1.16454,0
20180706 020100,1.16984,1.1702,1.16984,1.17019,0
20180717 021900,1.17291,1.17328,1.17285,1.17318,0
20180726 023300,1.17343,1.17346,1.17327,1.17345,0
20180806 032000,1.15611,1.15611,1.15593,1.15607,0
20180815 035300,1.13323,1.13346,1.13323,1.13337,0
20180824 041300,1.15549,1.15576,1.15549,1.15575,0
20180904 045400,1.15622,1.15625,1.15611,1.1562,0
20180913 051700,1.16101,1.16126,1.16097,1.16123,0
20180924 054100,1.17723,1.17726,1.17713,1.17721,0
20181003 055200,1.15657,1.15662,1.15648,1.15661,0
20181012 060300,1.15801,1.15802,1.1576,1.15764,0
20181023 062300,1.14817,1.14817,1.148,1.14802,0
20181101 064600,1.1376,1.1377,1.13754,1.13756,0
20181112 070500,1.12623,1.12642,1.12623,1.12638,0
20181121 072200,1.13988,1.13988,1.13968,1.1397,0
20181130 080600,1.1366,1.1367,1.1366,1.1367,0
20181211 081900,1.13766,1.13797,1.13757,1.13791,0
20181220 082400,1.14545,1.14549,1.1452,1.14535,0
