Category,Item Name,Price,Description,Veg/Non-veg,Rating,Restaurant Index
Recommended,Aloo Fry Roll*,60,Mashed Potatoes Sautéed In Secret Spices Rolled To Perfection In Your Favorite Base Wrap,Veg,4.0,0
Recommended,Aloo Chili Roll*.,70,Mashed Potatoes Seasoned And Wrapped With Spicy Chilies In Your Favorite Base Wrap.,Veg,4.0,0
Recommended,Egg Omelette Roll*.,70,A Quick Breakfast Choice Of Single Omlette And Delicious Wrapping In Your Favorite Base Wrap.,Non-veg,4.0,0
Recommended,Double Egg Omelette Roll*.,80,Double Layered Omlette Wrapped In A Quick Breakfast Roll.,Non-veg,4.0,0
Recommended,Aloo Cheese Roll*,110,Your Favorite Aloo Roll With Lots Of Melted Cheese-Wrapped In Your Favorite Base Wrap.,Veg,4.0,0
Recommended,Veg Paneer Roll*,130,Fresh Veggies With Paneer Wrapped In One Delicious Roll!,Veg,4.0,0
Recommended,Cheesy Corn Roll*,140,A Combination Of American Corn With Loads Of Gooey Cheese Rolled In Your Favorite Base.,Veg,4.0,0
Recommended,Paneer Mayonnaise Roll*,150,A Classic Combination Of Fresh Paneer Chunks And Delish Mayonnaise Rolled In Your Favorite Base.,Veg,4.0,0
Recommended,Paneer Mughlai Roll*,160,Fresh Paneer Chunks Rolled In Creamy Brown Onion Gravy Cooked In Mughlai Style,Veg,4.0,0
Recommended,Cheesy Barbeque Paneer Roll*,180,"Paneer With Barbecue Sauce, Gooey Cheese Rolled To Perfection",Veg,4.0,0
Recommended,Paneer Makhani Roll*,180,Classic Paneer Makhani Recipe Rolled In Your Favorite Base Wrap.,Veg,4.0,0
Recommended,Chicken Mayonnaise Roll*,140,A Classic Combination Of Tender Chicken Chunks With Mayonnaise Deliciously Rolled In Your Favorite Base Wrap.,Non-veg,4.0,0
Recommended,Chicken Mughlai Roll*,160,Creamy Brown Onion Gravy With Tender Chicken Chunks Cooked In Mughlai Style And Rolled In Your Choice Of Base.,Non-veg,4.0,0
Recommended,Chicken Cheese Roll*,170,Yummy Chicken Rolled With Lots Of Melted Cheese - What A Hit!,Non-veg,4.0,0
Recommended,Butter Chicken Roll*,180,The Most Popular Recipe On Our Menu - Butter Chicken Roll Is A Hit!,Non-veg,4.0,0
Recommended,Cheesy Barbeque Chicken Roll*,180,Delicious BBQ Chicken With Lots Of Melted Cheese And Yum Sauces Rolled In Your Favorite Base Wrap.,Non-veg,4.0,0
Recommended,Mushroom Chili Roll**,140,"Mushrooms, Chilies And Chinese Sauces - Make Into A Yummy Roll!",Veg,4.0,0
Recommended,Cheese Chili Manchurian Roll*,140,A Delicious Indo-Chinese Recipe With Manchurian Cheese Chunks Rolled To Perfection.,Veg,4.0,0
Recommended,Paneer Chili Roll*,140,Paneer Made With Chilies And Delicious Sauces Rolled Into One!,Veg,4.0,0
Recommended,Paneer Bhuna Roll*,160,Paneer Sautéed In Bhuna Masala - Wrapped In Your Favorite Base Wrap.,Veg,4.0,0
Recommended,Chicken Chili Roll*,140,Chicken Cooked With Chillies In Chinese Sauces And Deliciously Wrapped,Non-veg,4.0,0
Recommended,Chicken Bhuna Roll*,160,Tender Chicken Sautéed In Bhuna Masala And Spices And then Wrapped - A Total Win!,Non-veg,4.0,0
Recommended,Paneerr Masala Roll*,130,"Paneer, Tomatoes, Onions And Variety Of Spices Rolled Up To Perfection!",Veg,4.0,0
Recommended,Mushroom Masala Roll,130,Mushrooms Sauteed In Yummy Masala Rolled In One Perfect Roll!,Veg,4.0,0
