Date,Time,Open,High,Low,Close
01/03/2010,17:00,1.4301,1.4337,1.4257,1.429
01/04/2010,17:00,1.4289,1.4456,1.4269,1.4427
01/05/2010,17:00,1.4426,1.4483,1.4334,1.4355
01/06/2010,17:00,1.4356,1.4447,1.4283,1.44
01/07/2010,17:00,1.4399,1.4404,1.4299,1.4313
01/08/2010,17:00,1.4314,1.4439,1.4263,1.4409
01/09/2010,17:00,1.4314,1.4439,1.4263,1.4409
01/10/2010,17:00,1.4428,1.4533,1.4408,1.4498
01/11/2010,17:00,1.4499,1.4556,1.4453,1.4483
01/12/2010,17:00,1.4484,1.4546,1.4456,1.4489
01/13/2010,17:00,1.4488,1.4579,1.4463,1.4533
01/14/2010,17:00,1.4532,1.4555,1.4406,1.4418
01/15/2010,17:00,1.4417,1.4445,1.4337,1.4386
01/16/2010,17:00,1.4417,1.4445,1.4337,1.4386
01/17/2010,17:00,1.4353,1.4378,1.4335,1.4374
01/18/2010,17:00,1.4375,1.4414,1.4365,1.4394
01/19/2010,17:00,1.4393,1.4411,1.419,1.4212
01/20/2010,17:00,1.4211,1.422,1.4067,1.4096
01/21/2010,17:00,1.4095,1.4143,1.403,1.4123
01/22/2010,17:00,1.4124,1.4182,1.4086,1.4138
01/23/2010,17:00,1.4124,1.4182,1.4086,1.4138
01/24/2010,17:00,1.4156,1.4174,1.4134,1.4167
01/25/2010,17:00,1.4168,1.4194,1.4088,1.4092
01/26/2010,17:00,1.4091,1.4111,1.4042,1.4076
01/27/2010,17:00,1.4075,1.4087,1.394,1.4013
01/28/2010,17:00,1.4012,1.4051,1.3912,1.393
01/29/2010,17:00,1.3931,1.3987,1.3862,1.3862
01/30/2010,17:00,1.3931,1.3987,1.3862,1.3862
01/31/2010,17:00,1.3866,1.3887,1.3852,1.3881
02/01/2010,17:00,1.388,1.3938,1.3873,1.3916
02/02/2010,17:00,1.3915,1.3976,1.3902,1.3955
02/03/2010,17:00,1.3956,1.4025,1.3866,1.3889
02/04/2010,17:00,1.3888,1.3896,1.3669,1.3711
02/05/2010,17:00,1.3712,1.3742,1.3585,1.3678
02/06/2010,17:00,1.3712,1.3742,1.3585,1.3678
02/07/2010,17:00,1.3658,1.3667,1.3621,1.3646
02/08/2010,17:00,1.3645,1.3713,1.3622,1.3692
02/09/2010,17:00,1.3693,1.3839,1.3689,1.3754
02/10/2010,17:00,1.3753,1.3812,1.3677,1.3792
02/11/2010,17:00,1.3791,1.3801,1.3595,1.3669
02/12/2010,17:00,1.367,1.3686,1.3531,1.3631
02/13/2010,17:00,1.367,1.3686,1.3531,1.3631
02/14/2010,17:00,1.3625,1.3631,1.3605,1.3609
02/15/2010,17:00,1.361,1.3649,1.3579,1.3643
02/16/2010,17:00,1.3644,1.3782,1.3634,1.3779
02/17/2010,17:00,1.3778,1.3788,1.3557,1.3568
