Date,Time,Open,High,Low,Close
01/03/2010,17:00,1.4301,1.4337,1.4257,1.429
01/10/2010,17:00,1.4289,1.4533,1.4263,1.4498
01/17/2010,17:00,1.4499,1.4579,1.4335,1.4374
01/24/2010,17:00,1.4375,1.4414,1.403,1.4167
01/31/2010,17:00,1.4168,1.4194,1.3852,1.3881
02/07/2010,17:00,1.388,1.4025,1.3585,1.3646
02/14/2010,17:00,1.3645,1.3839,1.3531,1.3609
02/21/2010,17:00,1.361,1.3788,1.3442,1.3637
02/28/2010,17:00,1.3638,1.3691,1.345,1.3604
03/07/2010,17:00,1.3603,1.3735,1.3436,1.3677
03/14/2010,17:00,1.3678,1.3795,1.3536,1.3732
03/21/2010,17:00,1.3733,1.3817,1.3502,1.3513
03/28/2010,17:00,1.3512,1.3568,1.3266,1.344
04/04/2010,17:00,1.3441,1.359,1.3383,1.3521
04/11/2010,17:00,1.3522,1.3676,1.3281,1.3654
04/18/2010,17:00,1.3655,1.3691,1.3445,1.3462
04/25/2010,17:00,1.3461,1.3521,1.3201,1.3369
05/02/2010,17:00,1.337,1.3415,1.3113,1.3214
05/09/2010,17:00,1.3215,1.3252,1.2518,1.2945
05/16/2010,17:00,1.2944,1.3092,1.2233,1.2266
05/23/2010,17:00,1.2265,1.2671,1.2143,1.25
05/30/2010,17:00,1.2499,1.2524,1.2153,1.2318
06/06/2010,17:00,1.2317,1.2352,1.1875,1.1895
06/13/2010,17:00,1.1896,1.2207,1.189,1.2181
06/20/2010,17:00,1.218,1.2467,1.2162,1.2413
06/27/2010,17:00,1.2414,1.2466,1.2208,1.2382
07/04/2010,17:00,1.2381,1.261,1.215,1.2538
07/11/2010,17:00,1.2539,1.2728,1.2479,1.2597
07/18/2010,17:00,1.2598,1.3006,1.2522,1.2902
07/25/2010,17:00,1.2903,1.3027,1.2731,1.2929
08/01/2010,17:00,1.2928,1.3105,1.2888,1.3082
08/08/2010,17:00,1.3081,1.3333,1.3055,1.328
08/15/2010,17:00,1.3279,1.3307,1.2733,1.2777
08/22/2010,17:00,1.2778,1.2921,1.2663,1.2714
