,Date,Time,Open,High,Low,Close,ma,ema
0,02/01/2017,02:00,1.05155,1.05197,1.05155,1.0519,1.05197,1.05197
1,11/01/2017,02:45,1.05592,1.05598,1.0558,1.05585,1.0539749999999999,1.05197
2,20/01/2017,02:52,1.06735,1.06747,1.06732,1.06747,1.0584733333333334,1.0546433333333334
3,31/01/2017,02:58,1.06994,1.07,1.06987,1.06987,1.061355,1.05972
4,09/02/2017,03:05,1.06814,1.06831,1.06811,1.06822,1.0627460000000002,1.060786
5,20/02/2017,03:12,1.06142,1.06167,1.06142,1.06165,1.0625666666666669,1.0625833333333334
6,01/03/2017,03:19,1.05419,1.05428,1.0539,1.05425,1.0613828571428574,1.0610385714285715
7,10/03/2017,03:27,1.0612,1.06125,1.0611,1.06121,1.06136625,1.0605075000000002
8,21/03/2017,03:44,1.07817,1.07838,1.07817,1.07828,1.0632566666666667,1.0610855555555556
9,30/03/2017,03:56,1.07371,1.07384,1.07365,1.07373,1.0643150000000001,1.0640820000000002
10,10/04/2017,04:13,1.05874,1.05874,1.0587,1.0587,1.063808181818182,1.0634045454545453
11,19/04/2017,04:33,1.07166,1.07179,1.07165,1.07175,1.0644733333333334,1.0631916666666668
12,28/04/2017,04:49,1.08941,1.08948,1.08936,1.08939,1.066396923076923,1.0646946153846153
13,09/05/2017,05:12,1.09075,1.09088,1.09075,1.09087,1.0681457142857143,1.0669471428571429
14,18/05/2017,05:26,1.11227,1.11232,1.11213,1.1122,1.0710906666666666,1.0681859999999999
15,29/05/2017,05:54,1.11823,1.11836,1.11821,1.11832,1.074045,1.07261875
16,07/06/2017,06:19,1.12206,1.12257,1.12175,1.12257,1.0768994117647057,1.0740888235294115
17,16/06/2017,06:32,1.11759,1.11773,1.11759,1.1177,1.0791677777777775,1.078168888888889
18,27/06/2017,07:05,1.12631,1.12634,1.12618,1.12629,1.0816505263157892,1.078682631578947
19,06/07/2017,07:18,1.13676,1.13691,1.13674,1.13686,1.0844134999999997,1.082986
20,17/07/2017,07:33,1.1463,1.1463,1.14622,1.14625,1.087360476190476,1.084228095238095
21,26/07/2017,07:50,1.16481,1.16484,1.16474,1.16478,1.0908822727272727,1.088741818181818
22,04/08/2017,07:57,1.18734,1.18747,1.18727,1.18746,1.0950817391304348,1.0912378260869564
23,15/08/2017,08:12,1.17418,1.17429,1.17405,1.17427,1.0983820833333333,1.0969691666666666
24,24/08/2017,08:29,1.18052,1.18052,1.18012,1.18022,1.1016675999999999,1.097882
25,04/09/2017,08:45,1.1894,1.18948,1.18891,1.18945,1.105045,1.1033961538461539
26,13/09/2017,09:27,1.19535,1.19547,1.19527,1.19528,1.108394074074074,1.104667037037037
27,22/09/2017,09:54,1.19659,1.19667,1.19631,1.19656,1.1115467857142858,1.109972857142857
28,03/10/2017,10:10,1.177,1.17714,1.17683,1.17694,1.1138086206896551,1.1110120689655172
29,12/10/2017,10:43,1.18426,1.18439,1.18425,1.18429,1.1161613333333333,1.1144506666666667
30,23/10/2017,11:14,1.17475,1.1748,1.17466,1.1747,1.1180529032258064,1.1157461290322581
31,01/11/2017,11:57,1.16199,1.16202,1.1615,1.1615,1.1194268749999998,1.1182225000000001
32,10/11/2017,12:20,1.1657,1.16578,1.16566,1.16575,1.120831515151515,1.1185506060606063
33,21/11/2017,13:03,1.17446,1.17451,1.17429,1.1743,1.1224102941176468,1.12102
34,30/11/2017,13:33,1.19125,1.19144,1.19106,1.19121,1.1243825714285711,1.1217482857142858
35,11/12/2017,13:42,1.17908,1.17918,1.17903,1.17907,1.125904722222222,1.124932222222222
36,20/12/2017,14:13,1.18793,1.18793,1.18771,1.1878,1.127581081081081,1.1248527027027027
37,01/01/2018,17:00,1.20037,1.201,1.20037,1.201,1.1295131578947366,1.128247894736842
38,10/01/2018,17:19,1.19506,1.19507,1.19506,1.19507,1.1311941025641024,1.1287576923076923
39,21/01/2018,17:24,1.22603,1.22605,1.22598,1.22598,1.1335655,1.1315889999999997
40,30/01/2018,17:32,1.24021,1.24021,1.2402,1.2402,1.1361665853658536,1.1335036585365854
41,08/02/2018,17:36,1.22444,1.22444,1.22434,1.22434,1.1382683333333332,1.1367614285714283
42,19/02/2018,18:11,1.24062,1.24066,1.24057,1.24066,1.140649534883721,1.1377332558139535
43,28/02/2018,18:21,1.21926,1.21926,1.2192,1.2192,1.1424361363636362,1.1414840909090906
44,11/03/2018,18:38,1.23103,1.23108,1.23103,1.23106,1.1444059999999998,1.1413566666666668
45,20/03/2018,19:14,1.22439,1.22448,1.22439,1.22447,1.1461467391304345,1.145379565217391
46,29/03/2018,19:35,1.22998,1.23,1.22997,1.23,1.1479308510638295,1.1448938297872342
47,09/04/2018,21:30,1.23214,1.2322,1.23199,1.23219,1.149686458333333,1.1489054166666666
48,18/04/2018,22:05,1.23689,1.2369,1.23688,1.23689,1.151466326530612,1.1484573469387755
49,29/04/2018,22:51,1.21317,1.21322,1.21317,1.21321,1.1527013999999998,1.1524252
