Serial Number,Title,Paragraph
1,எவரெசுட்டு சிகரம்,"எவரெசுட்டு சிகரம் (அல்லது எவரெஸ்ட் சிகரம்), நேபாளத்தில் சாகர்மா என்றும், சீனாவில் சோமோலுங்குமா என்றும் அழைக்கப்படுகிறது. இது உலகிலேயே யாவற்றினும் மிக உயர்ந்த கொடுமுடியாகும். இது கடல் மட்டத்திலிருந்து 8,848 உயரம் மீட்டர் (29,029 அடி) ஆகும்.[1] இமயமலையின் மஹாலங்கூர் மலைத்தொடரில் எவரெஸ்ட் மலை அமைந்து உள்ளது.[6][7]
மேலும், பூமியின் மையத்தில் இருந்து அளக்கப்பட்டால், 5 வது உயரமான மலை ஆகும். இது இமயமலையின்  பிரிவில் அமைந்துள்ளது. சீனா (திபெத் தன்னாட்சிப் பகுதி) மற்றும் நேபாளம் இடையேயான சர்வதேச எல்லையானது எவரெஸ்ட் சிகரத்தின் உச்சியில் உள்ளது. அதன் மேல்பகுதியில் அண்டை சிகரங்கள் இலோட்ஃசே மலை, 8,516 மீ (27,940 அடி); நபுட்சே, 7,855 மீ (25,771 அடி), மற்றும் சாங்சே, 7,580 மீ (24,870 அடி) ஆகும்."
2,நங்க பர்வதம்,"நங்க பர்பத், இமயமலைத் தொடரின் மகாலங்கூர் இமால் என்னும் துணைத் தொடரில் உள்ள ஒரு மலை ஆகும். இது பாகிசுத்தானால் நிர்வகிக்கப்படும் காசுமீரின் அசுத்தோரே மாவட்டத்தில் சிந்து நதிக்குச் சற்றுத் தெற்கில் அமைந்துள்ளது. 8,126 மீட்டர்கள் (26,660 அடிகள்) உயரம் கொண்ட இது உலகின் ஒன்பதாவது உயரமான மலை. 1953 ஆம் ஆண்டு யூலை 8 ஆம் நாள் செருமனி, ஆசுத்திரியா ஆகிய நாடுகளைச் சேர்ந்த மலையேறும் குழுவினரின் ஒருவரான ஏர்மன் புல் என்பவர் முதன் முதலாக இதன் உச்சியை அடைந்தார்."
3,மோண்ட் பிளாங்க்,"மோண்ட் பிளாங்க் (பிரெஞ்ச் மொழியில் Mont Blanc) அல்லது மோன்தே பியாங்கோ (இத்தாலிய மொழியில் Monte Bianco) என்னும் மலை மேற்கு ஐரோப்பியாவிலேயே மிக உயரமான மலை. மோண்ட் பிளாங்க் என்பது வெண்மலை என்று பொருள் தரும். இம்மலை ஆல்ப்ஸ் மலைத்தொடரில் உள்ளது. இதன் உயரம் 4808 மீ (15,774 அடி) ஆகும்."
4,மெக்கின்லி மலை,"டெனாலி (Denali) அல்லது மெக்கின்லி மலை (Mount McKinley)  வட அமெரிக்காவின் மிகவும் உயரமான மலையாகும். ஐக்கிய அமெரிக்காவின் அலாஸ்கா மாநிலத்தின் தென்கிழக்கு பகுதியில் அமைந்துள்ளது. இம்மலையைச் சுற்றி அமெரிக்காவின் டெனாலி தேசியப் பூங்கா அமைந்துள்ளது. 1917 முதல் 2015 வரை இந்த மலை அலுவல்முறையாக முன்னாள் குடியரசுத் தலைவரான வில்லியம் மக்கென்லி நினைவாக மெக்கின்லி மலை என்று அழைக்கப்பட்டு வந்தது;  2015இல் அலாசுக்கா மாநிலத்தின் வழிகாட்டுதலில் ஐக்கிய அமெரிக்க அரசு இதன் பெயரை  உள்ளூர் கோயுகொன் மொழி பெயரான டெனாலிக்கு மாற்றியுள்ளது.[2] இந்த மலையின் உயரம் கடல்மட்டத்திலிருந்து 20,237 அடிகள் (6,168 m) ஆக உள்ளது.[3] எவரெசுட்டு சிகரத்திற்கும் அக்கோன்காகுவாவிற்கும் அடுத்து மூன்றாவது மிக உயர்ந்த சிகரத்தைக் கொண்டுள்ளது."
5,கினபாலு மலை,கினபாலு மலை (மலாய்: Gunung Kinabalu; ஆங்கிலம்: Mount Kinabalu சீனம்: 京那巴鲁) என்பது தென்கிழக்கு ஆசியாவின் போர்னியோ தீவில் இருக்கும் மிகப் புகழ் பெற்ற மலையாகும். இந்த மலை கிழக்கு மலேசியாவின் சபா மாநிலத்தில் இருக்கிறது. கினபாலு தேசியப் பூங்காவில் இந்த மலை இருக்கிறது. உலகப் பாரம்பரிய இடங்களில் ஒன்றாக யுனெஸ்கோ அறிவித்துள்ளது.[1]
6,ஸ்ரீ பாத,"சிவனொளிபாதம் அல்லது பாவா ஆதம் மலை (Adam's Peak; சிங்களம் சிறிபாத, அராபியம் Al-Rohun) கடல் மட்டத்திலிருந்து 2,243 மீட்டர் (7,359 அடி)  உயரமான கூம்பு வடிவிலான மலையாகும். இம்மலையானது சபரகமுவா, மத்திய மாகாணங்களுக்கிடையிலான எல்லையில் அமைந்துள்ளது. மலையுச்சியில் காணப்படும் 1.8 மீட்டர் அளவான பாறை அமைப்பு கௌதம புத்தரின் காலடிச் சுவடாக பௌத்தர்களால் கருதப்படுகிறது, இந்து சமய நம்பிக்கைகளின் படி இது சிவனின் காலடிச் சுவடாக கருதப்படுவதோடு இஸ்லாமியர்கள் இதை பாவா ஆதம் மலை - ஆதாம் ஆதாமின் காலடிச் சுவடாக கருதுகின்றனர்."
9,அதோஸ் மலை,"அதோஸ் மலை (Mount Athos, கிரேக்கம்: Ἄθως‎) என்பது வடகிழக்கு கிரேக்கத்தில் உள்ள ஒரு மலை மற்றும் மூவலந்தீவு ஆகும். இது கிழக்கு மரபுவழி துறவியலின் முக்கிய மையமாகும். இது எலனிக் குடியரசிற்குள் ஒரு தன்னாட்சி அரசாக நிர்வகிக்கப்படுகிறது. அதாவது கான்ஸ்டான்டினோப்பிளின் எக்குமெனிகல் பேட்ரியார்க்கின் நேரடி அதிகார வரம்பில் அதோஸ் மலையின் துறவறவியம் மையம் உள்ளது."
10,பெலே மலை,"பெலே மலை (Mount Pelée, பிரெஞ்சு: Montagne Pelée) என்பது கரிபியன் தீவுகளில் ஒன்றான மார்டீனிக் தீவில் உள்ள ஒரு குமுறும் எரிமலையாகும்."
11,கஞ்சன்சங்கா மலை,"கஞ்சன்சங்கா (Kangchenjunga, நேப்பாளம்: कञ्चनजङ्घा Kanchanjaŋghā), உலகிலேயே உயரத்தில் மூன்றாவதாக இருக்கும் மலை ஆகும். இம்மலை இமயமலைத்தொடரில் உள்ளது. இதன் உயரம் 8,586 மீ."
12,எட்னா எரிமலை,எட்னா எரிமலை (Mount Etna) ஐரோப்பாவின் தென் இத்தாலியில் சிசிலித் தீவில் உள்ளது. ஜூன் 2013 இல் யுனெஸ்கோவால் உலகப் பாரம்பரியக் களங்களில் ஒன்றாக அறிவிக்கப்பட்டது[2].
13,விக்டோரியா சிகரம்,"விக்டோரியா சிகரம் (Victoria Peak) என்பது ஹொங்கொங் தீவில் உள்ள ஒரு மலையாகும். இந்த மலையை ""ஒசுடின் மலை"" என்றும் அழைப்பர். உள்ளூர்வாசிகள் ""பீக்"" என்று அழைக்கின்றனர். இந்த மலை ஹொங்கொங் தீவின் மேற்காக அமைந்துள்ளது. இதன் உயரம் (1,811 அடிகள்) 552 மீட்டர்களாகும். இது ஹொங்கொங் தீவில் உள்ள உயரமான மலையாகும். அதேவேளை இது ஹொங்கொங்கில் உள்ள உயரமான மலையல்ல. ஹொங்கொங்கில் உள்ள உயரமான மலை டை மோ சான் மலை ஆகும்."
